response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
1,18 - 29,I have either no experience or minimal experience with creating new pieces of music,yes. Decent beat.,Computer,5,5,All good. ,5,3,Could use more choices. But I like my choice also.,5,5,5,4,2,2,,5,,Had trouble getting it to share,,,,,5,,,,
2,18 - 29,I have either no experience or minimal experience with creating new pieces of music,Love the UI and all the visuals you've used,Computer,5,5,I like how you provide an option to either generate one or customize one.,5,5,N/A,5,5,2,4,2,4,N/A,3,Indicate whether the singing is being recorded,https://wrenhawth.github.io/octo-looper/?title=Clean+%F0%9F%96%A4&tempo=93&drums=FUNK&chordPattern=SIXTEENTH_NOTES&arp=none&lyrics=&chords=IV&chords=I&chords=V&chords=I&sev=1,N/A,N/A,,N/A,5,It's a fun interface that allows you to get hands-on with music creation.,Adjusting parameters like speed or bar count can make a world of a difference.,The explanations at the top for each section was very helpful.,Including a record button for the Sing section could be a nice touch or renaming that section to Lyrics.
3,50 - 64,I have either no experience or minimal experience with creating new pieces of music,Wow!  I saw your initial creation in Milestone 1. This has come a long way!  I like that I can see the chord names as it helps me to listen for the changes.,Computer,4,4,"One name said ""Undefined""",5,4,No,5,4,4,4,3,5,No,5,No,N/A,The teaching of the chords with the changes in the sounds.,None,4,N/A,3,N/A,"I liked how at the octopus was spinning past each section, the sounds changed with the chords I picked.",Nothing.,No
4,50 - 64,I have either no experience or minimal experience with creating new pieces of music,Wonderful tool!!,Computer,5,5,All good! I like your passion!,5,5,Drums sound very good!,5,5,5,5,5,5,All good regarding Chords.,5,Encouraging.,"I did not share, sorry.",They will love it ... it will be better to add more options for them to integrate more sounds.,"Well, parents should have patience with the sounds they will create.",5,Sounds combination refinements.,2,"Well,  I am a Senior on IT,  I used to create digital music 30 years ago when these tools did not exist.  Thank you!",Sure. ,Nothing confusing.,"All good, move forward."
5,40 - 49,None of the above,,Computer,4,4,,5,5,,4,5,4,4,4,5,,4,,,,,4,,5,,,,Looks like a cool app!
6,18 - 29,I have either no experience or minimal experience with creating new pieces of music,,Computer,5,5,,5,5,,5,5,2,5,4,5,,5,,,,,,,3,,I understand the impact chords and beats can have on the vibe/general feel of music,Not much! Everything was very easy to undersand. ,I think it's great!
7,30 - 39,I have a background in music beyond minimal exposure,,Computer,5,5,,5,5,,4,4,3,4,4,3,Pop-up instructions for how to use certain features/functions would probably help user notice them.,4,,,,,,,4,"This tool seems fun and easy to use, also the sharing function at the end is great. ",,,This is a very interesting and fun tool!
8,18 - 29,I have a background in music beyond minimal exposure,This has a good design for kids and is easy to use.,Computer,4,4,It would be nice to have buttons for creating names that add on to each other in a randomized way.,4,4,The options are good for the target market of kids.,5,4,4,5,1,4,The design is good for an MVP but the elements that are clickable might need to look different for kids.,4,,,,,,,4,It would be cool to see a tool that's more open to brand new users than something like GarageBand.,,,"I love the website, great job!"
9,30 - 39,I have a background in music beyond minimal exposure,,Computer,4,4,"since it is for kids, peer comments on the application might be in accurate to consider, which can be a bias to consider for you.",4,4,,4,4,3,4,4,3,,3,,,,,,,,,,,"I think it can be a great tool, again if the app is to be widely used, it might be useful to gather feedback from kids would be more applicable."
10,18 - 29,I have either no experience or minimal experience with creating new pieces of music,This is so cool. it's really fun,Computer,3,3,,4,4,,4,4,4,4,4,4,,4,,,,,,,,,,,N/A
11,18 - 29,I have either no experience or minimal experience with creating new pieces of music,okay,Computer,5,3,I like that you can choose your own name completely as well as generate one using emojis. ,4,4,,4,4,4,4,2,2,,4,"I think it is very kid friendly in many aspects! The emojis, silly names, backgroud, colors, and images used would really appeal to children and make it fun for learning!",,They would be able to play with it themselves since it is so intuitive without me having to walk them through step by step every time. ,I don't see anything concerning. ,5,I think there could be more educational content included like explanations to help the kids learn more music vocabulary. Maybe some tutorials on different musical topics as well. ,3,I'm not necessarily interested in that but I do think it would be fun to take stress out with if there was an adult version. Also would be fun for those adults with music as a hobby. ,,"I wasn't quite sure what each part did, for example, the chord. There was an option to add more, remove some, etc. ",Great tool! It looks amazing and lots of hard work can be seen through it. 
12,18 - 29,I have either no experience or minimal experience with creating new pieces of music;I have a background in music beyond minimal exposure,,Smartphone,3,3,,3,3,,3,3,3,3,3,3,,3,,,,,,,,,,,NA
